ID_Meta,Dimension,Longitudinal,Etapa,Meta_Texto,Pasos,Para_Score
CAR001,ocupacional,,exploracion,Entrevistar a Directores de Programa/Entrada de mi área de interés en 4 semanas.,Buscar correos hoy; Enviar mensajes de contacto esta semana; Agendar la primera entrevista para la próxima semana.,
CAR002,ocupacional,,exploracion,Definir 2 posibles áreas de especialización para mi carrera en 5 semanas.,Agendar cita con mi Director de Carrera esta semana; Investigar planes de estudio de posgrado; Platicar con 2 estudiantes de semestres más avanzados sobre sus intereses.,
CAR003,ocupacional,si,exploracion,Crear un portafolio digital básico con 3 proyectos clave en 3 semanas.,"Elegir una plataforma (Behance, GitHub) hoy; Documentar el primer proyecto esta semana; Solicitar feedback a un profesor o mentor.",
CAR004,intelectual,si,exploracion,Completar un curso en Coursera o edX sobre una habilidad clave para mi carrera.,Inscribirme al curso esta semana; Dedicar 3 horas semanales al curso; Aplicar un concepto aprendido en una materia actual.,
CAR005,ocupacional,si,exploracion,Asistir a 2 eventos de networking (virtuales o presenciales) en 5 semanas.,Buscar eventos en los grupos de mi carrera hoy; Conectar en LinkedIn con 3 personas por evento.,
CAR006,ocupacional,si,exploracion,Investigar 3 empresas top en mi sector y sus procesos de reclutamiento.,Seleccionar las empresas hoy; Analizar sus vacantes para becarios en LinkedIn; Adaptar mi CV para una de esas empresas.,
ACA001,intelectual,si,exploracion,Subir mi promedio 0.5 puntos en una materia específica este parcial.,Agendar asesoría con el profesor esta semana; Formar un grupo de estudio y reunirse 2 veces/semana; Re-hacer los ejercicios con errores del último examen/tarea,
ACA002,intelectual,si,exploracion,Aplicar el método Cornell para tomar apuntes en todas mis clases por 4 semanas.,Ver un tutorial de 10 min sobre el método hoy; Comprar un cuaderno o configurar una app para usarlo; Resumir los apuntes de cada día en 15 min.,
ACA003,intelectual,si,exploracion,Entregar todas mis tareas 24 horas antes de la fecha límite por 5 semanas.,"Usar Google Calendar para poner recordatorios hoy; Bloquear ""horas de tarea"" en mi agenda semanal; Empezar las tareas el día que las asignan.",
ACA004,intelectual,si,exploracion,Participar activamente (hablar o preguntar) al menos una vez por clase.,Preparar una pregunta antes de cada clase; Sentarme en las primeras filas para sentirme más involucrado/a; Anotar mis participaciones para llevar un registro.,
ACA005,intelectual,si,exploracion,Reducir mi tiempo de estudio un 15% usando la técnica Pomodoro.,Descargar una app de Pomodoro (ej. Forest) hoy; Estudiar en bloques de 25 min con 5 de descanso; Identificar y eliminar una distracción principal.,
ACA006,intelectual,si,exploracion,Organizar y limpiar todos mis archivos digitales de materias en 2 semanas.,Crear carpetas por materia y semestre hoy; Dedicar 1 hora esta semana a organizar archivos pasados; Mantener el sistema de organización diario.,
PRA001,ocupacional,si,exploracion,Crear un CV de alto impacto y un perfil de LinkedIn estelar en 2 semanas.,Tomar una foto profesional esta semana; Usar una plantilla de CV aprobada por el Tec; Pedir a 3 personas que revisen mi CV y LinkedIn.,
PRA002,ocupacional,si,exploracion,Aplicar a 5 vacantes de prácticas profesionales en 3 semanas.,Activar alertas de empleo en LinkedIn y la bolsa de trabajo Tec; Adaptar mi CV para cada aplicación; Enviar la primera aplicación esta semana.,
PRA003,ocupacional,si,exploracion,"Desarrollar una nueva habilidad técnica (ej. Python básico, Figma) para mi CV.",Inscribirme a un curso introductorio en línea; Dedicar 4 horas a la semana para practicar; Crear un mini-proyecto para demostrar la habilidad.,
PRA004,ocupacional,si,exploracion,Preparar y practicar respuestas para 10 preguntas comunes de entrevista.,Buscar listas de preguntas de entrevista hoy; Escribir mis respuestas usando el método STAR; Grabarme respondiendo para autoevaluarme.,
PRA005,ocupacional,si,exploracion,Conseguir una carta de recomendación de un profesor en 4 semanas.,Identificar al profesor adecuado esta semana; Preparar un resumen de mis logros en su clase; Solicitar formalmente la carta en persona o por correo.,
SER001,social,si,exploracion,Inscribirme y completar un proyecto de servicio social este periodo.,Investigar 3 opciones de servicio social en el sistema del Tec; Contactar a la organización que más me interese esta semana; Definir mi horario y empezar el próximo periodo.,
SER002,social,si,exploracion,Proponer una mejora concreta en el proyecto de servicio social asignado.,Observar y tomar notas durante la primera semana; Hablar con mi supervisor sobre un área de oportunidad; Presentar una propuesta simple en 1 página.,
SER004,social,si,exploracion,Conectar con 3 compañeros de mi equipo de servicio social a nivel personal.,Invitar a tomar un café a un compañero esta semana; Organizar una actividad breve de integración; Crear un grupo de WhatsApp para comunicación informal.,
FIS001,fisica,si,exploracion,"Completar el reto de 10,000 pasos diarios por 30 días seguidos.",Activar el contador de pasos de mi celular/reloj; Estacionarme más lejos o bajarme antes del transporte; Dar una caminata de 15 min después de comer.,
FIS002,fisica,si,exploracion,Asistir a 3 clases deportivas diferentes en LiFE para encontrar una que me guste.,Revisar el horario de clases deportivas esta semana; Invitar a un amigo a ir conmigo a la primera clase; Evaluar cada clase del 1 al 10 después de asistir.,
FIS003,fisica,si,exploracion,"Incorporar 15 minutos de estiramientos en mi rutina matutina, 5 días/semana.",Buscar una rutina de estiramientos para principiantes en YouTube; Poner mi alarma 15 minutos antes; Dejar listo mi tapete de yoga la noche anterior.,
FIS004,fisica,si,exploracion,Beber 2 litros de agua al día durante las 5 semanas del periodo.,Comprar una botella de agua reutilizable de 1 litro; Poner recordatorios en mi celular cada 2 horas; Llenar la botella 2 veces al día como meta.,
FIS005,fisica,si,exploracion,"Dormir 7-8 horas cada noche, mejorando mi higiene del sueño.",Establecer una hora fija para dormir y despertar; Dejar el celular fuera de la habitación 30 min antes de dormir; Evitar cafeína después de las 4 p.m.,
EMO001,emocional,si,exploracion,Practicar 5 minutos de journaling de gratitud cada noche por 30 días.,Comprar una libreta y pluma que me gusten hoy; Poner una alarma recordatoria a las 10 p.m.; Escribir 3 cosas específicas por las que estoy agradecido.,
EMO002,emocional,si,exploracion,Identificar 3 detonantes de estrés y crear un plan de acción para uno de ellos.,"Anotar situaciones estresantes durante esta semana; Analizar y elegir un detonante recurrente; Definir 3 acciones simples para manejarlo (ej. respirar, caminar).",
EMO003,emocional,si,exploracion,Acudir a Consejería Emocional para un chequeo emocional.,Acudir a Consejería Emocional para solicitar una cita esta semana; Preparar 1 o 2 temas de los que me gustaría hablar.,
EMO004,emocional,si,exploracion,Practicar la técnica de respiración 4-7-8 cuando sienta ansiedad o estrés.,Ver un video tutorial de la técnica hoy; Practicarla 3 veces al día en momentos de calma; Usarla activamente en la próxima situación estresante.,
EMO005,emocional,si,exploracion,Dedicar 1 hora a la semana a un hobby que me relaje y no sea digital.,Hacer una lista de 5 posibles hobbies hoy; Comprar los materiales básicos para uno esta semana; Bloquear 1 hora en mi agenda del fin de semana.,
SOC001,social,si,exploracion,Unirme a un grupo estudiantil y asistir a todas sus reuniones por 5 semanas.,Investigar los grupos estudiantiles disponibles en el Tec; Asistir a una reunión de prueba esta semana; Presentarme con al menos 2 miembros del grupo.,
SOC002,social,si,exploracion,Iniciar una conversación con un compañero nuevo en cada una de mis clases.,"Preparar una pregunta simple para romper el hielo (ej. ""¿Qué te pareció la tarea?""); Sentarme junto a alguien diferente cada día; Intentar recordar el nombre de una persona nueva por clase.",
SOC003,social,si,exploracion,Organizar una actividad recreativa (online o presencial) con mi grupo de amigos.,Proponer 3 ideas de actividades en el chat grupal; Crear una encuesta para decidir la fecha y hora; Encargarme de un aspecto de la organización.,
