Id,TemaOperativo,Dimension,Etapa,MetaBase,PasosBase,HorizonteSugerido,IndicadorLogro,CuandoUsarla,NivelDificultad,FrecuenciaSeguimiento,ConexionDiagnostico,PreguntasParaAfinar,Activa
CAR001,carrera,ocupacional,exploracion,Entrevistar a Directores de Programa/Entrada de mi área de interés en 4 semanas.,Buscar correos hoy; Enviar mensajes de contacto esta semana; Agendar la primera entrevista para la próxima semana.,4 semanas,Realizó al menos una entrevista y puede nombrar dos aprendizajes concretos para su decisión.,Aplica para estudiantes en exploración o enfoque profesional que necesitan claridad sobre su ruta académica o laboral dentro del Tec.,baja,quincenal,claridad_carrera,¿Qué opción necesitas aclarar primero? | ¿Con quién te conviene hablar esta semana? | ¿Qué evidencia te ayudaría a decidir con más seguridad?,Si
CAR002,carrera,ocupacional,exploracion,Definir 2 posibles áreas de especialización para mi carrera en 5 semanas.,Agendar cita con mi Director de Carrera esta semana; Investigar planes de estudio de posgrado; Platicar con 2 estudiantes de semestres más avanzados sobre sus intereses.,5 semanas,Tiene dos opciones de especialización nombradas y un criterio claro para compararlas.,Aplica para estudiantes en exploración o enfoque profesional que necesitan claridad sobre su ruta académica o laboral dentro del Tec.,baja,quincenal,claridad_carrera,¿Qué opción necesitas aclarar primero? | ¿Con quién te conviene hablar esta semana? | ¿Qué evidencia te ayudaría a decidir con más seguridad?,Si
CAR003,carrera,ocupacional,exploracion,Crear un portafolio digital básico con 3 proyectos clave en 3 semanas.,"Elegir una plataforma (Behance, GitHub) hoy; Documentar el primer proyecto esta semana; Solicitar feedback a un profesor o mentor.",3 semanas,Cuenta con un portafolio publicado con al menos tres proyectos visibles.,Aplica para estudiantes en exploración o enfoque profesional que necesitan claridad sobre su ruta académica o laboral dentro del Tec.,baja,quincenal,claridad_carrera,¿Qué opción necesitas aclarar primero? | ¿Con quién te conviene hablar esta semana? | ¿Qué evidencia te ayudaría a decidir con más seguridad?,Si
CAR004,carrera,intelectual,multietapa,Completar un curso en Coursera o edX sobre una habilidad clave para mi carrera.,Inscribirme al curso esta semana; Dedicar 3 horas semanales al curso; Aplicar un concepto aprendido en una materia actual.,4 a 6 semanas,Completó el curso o módulo comprometido y puede mostrar una evidencia de aplicación.,Aplica para estudiantes en exploración o enfoque profesional que necesitan claridad sobre su ruta académica o laboral dentro del Tec.,media,quincenal,claridad_carrera,¿Qué opción necesitas aclarar primero? | ¿Con quién te conviene hablar esta semana? | ¿Qué evidencia te ayudaría a decidir con más seguridad?,Si
CAR005,carrera,ocupacional,multietapa,Asistir a 2 eventos de networking (virtuales o presenciales) en 5 semanas.,Buscar eventos en los grupos de mi carrera hoy; Conectar en LinkedIn con 3 personas por evento.,5 semanas,Asistió al número de eventos definido y dio seguimiento a contactos clave.,Aplica para estudiantes en exploración o enfoque profesional que necesitan claridad sobre su ruta académica o laboral dentro del Tec.,baja,quincenal,claridad_carrera,¿Qué opción necesitas aclarar primero? | ¿Con quién te conviene hablar esta semana? | ¿Qué evidencia te ayudaría a decidir con más seguridad?,Si
CAR006,carrera,ocupacional,multietapa,Investigar 3 empresas top en mi sector y sus procesos de reclutamiento.,Seleccionar las empresas hoy; Analizar sus vacantes para becarios en LinkedIn; Adaptar mi CV para una de esas empresas.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,Aplica para estudiantes en exploración o enfoque profesional que necesitan claridad sobre su ruta académica o laboral dentro del Tec.,baja,quincenal,claridad_carrera,¿Qué opción necesitas aclarar primero? | ¿Con quién te conviene hablar esta semana? | ¿Qué evidencia te ayudaría a decidir con más seguridad?,Si
ACA001,academico,intelectual,multietapa,Subir mi promedio 0.5 puntos en una materia específica este parcial.,Agendar asesoría con el profesor esta semana; Formar un grupo de estudio y reunirse 2 veces/semana; Re-hacer los ejercicios con errores del último examen/tarea,este parcial,Cuenta con una meta de calificación definida y evidencia de acciones semanales para acercarse a ella.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,media,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
ACA002,academico,intelectual,multietapa,Aplicar el método Cornell para tomar apuntes en todas mis clases por 4 semanas.,Ver un tutorial de 10 min sobre el método hoy; Comprar un cuaderno o configurar una app para usarlo; Resumir los apuntes de cada día en 15 min.,4 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,media,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
ACA003,academico,intelectual,multietapa,Entregar todas mis tareas 24 horas antes de la fecha límite por 5 semanas.,Usar Google Calendar para poner recordatorios hoy; Bloquear horas de tarea en mi agenda semanal; Empezar las tareas el día que las asignan.,5 semanas,Entregó sus tareas dentro del margen acordado durante el periodo definido.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,media,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
ACA004,academico,intelectual,multietapa,Participar activamente (hablar o preguntar) al menos una vez por clase.,Preparar una pregunta antes de cada clase; Sentarme en las primeras filas para sentirme más involucrado/a; Anotar mis participaciones para llevar un registro.,4 a 6 semanas,Puede registrar participaciones sostenidas en sus clases durante el periodo acordado.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,baja,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
ACA005,academico,intelectual,multietapa,Reducir mi tiempo de estudio un 15% usando la técnica Pomodoro.,Descargar una app de Pomodoro (ej. Forest) hoy; Estudiar en bloques de 25 min con 5 de descanso; Identificar y eliminar una distracción principal.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,media,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
ACA006,academico,intelectual,multietapa,Organizar y limpiar todos mis archivos digitales de materias en 2 semanas.,Crear carpetas por materia y semestre hoy; Dedicar 1 hora esta semana a organizar archivos pasados; Mantener el sistema de organización diario.,2 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,baja,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
PRA001,practicas,ocupacional,multietapa,Crear un CV de alto impacto y un perfil de LinkedIn en 2 semanas.,Tomar una foto profesional esta semana; Usar una plantilla de CV aprobada por el Tec; Pedir a 3 personas que revisen mi CV y LinkedIn.,2 semanas,Tiene CV y perfil actualizados y listos para compartir en procesos reales.,"Aplica para estudiantes que quieren activar su perfil profesional y necesitan pasos visibles para acercarse a prácticas, reclutamiento o experiencia aplicada.",media,quincenal,plan_practicas,¿Qué tipo de experiencia quieres conseguir primero? | ¿Qué material necesitas tener listo para aplicar? | ¿Qué paso te acercaría más esta misma semana?,Si
PRA002,practicas,ocupacional,multietapa,Aplicar a 5 vacantes de prácticas profesionales en 3 semanas.,Activar alertas de empleo en LinkedIn y la bolsa de trabajo Tec; Adaptar mi CV para cada aplicación; Enviar la primera aplicación esta semana.,3 semanas,Envió las aplicaciones comprometidas y puede mostrar evidencia de seguimiento.,"Aplica para estudiantes que quieren activar su perfil profesional y necesitan pasos visibles para acercarse a prácticas, reclutamiento o experiencia aplicada.",media,quincenal,plan_practicas,¿Qué tipo de experiencia quieres conseguir primero? | ¿Qué material necesitas tener listo para aplicar? | ¿Qué paso te acercaría más esta misma semana?,Si
PRA003,practicas,ocupacional,multietapa,"Desarrollar una nueva habilidad técnica (ej. Python básico, Figma) para mi CV.",Inscribirme a un curso introductorio en línea; Dedicar 4 horas a la semana para practicar; Crear un mini-proyecto para demostrar la habilidad.,4 a 6 semanas,Tiene CV y perfil actualizados y listos para compartir en procesos reales.,"Aplica para estudiantes que quieren activar su perfil profesional y necesitan pasos visibles para acercarse a prácticas, reclutamiento o experiencia aplicada.",alta,quincenal,plan_practicas,¿Qué tipo de experiencia quieres conseguir primero? | ¿Qué material necesitas tener listo para aplicar? | ¿Qué paso te acercaría más esta misma semana?,Si
PRA004,practicas,ocupacional,multietapa,Preparar y practicar respuestas para 10 preguntas comunes de entrevista.,Buscar listas de preguntas de entrevista hoy; Escribir mis respuestas usando el método STAR; Grabarme respondiendo para autoevaluarme.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que quieren activar su perfil profesional y necesitan pasos visibles para acercarse a prácticas, reclutamiento o experiencia aplicada.",media,quincenal,plan_practicas,¿Qué tipo de experiencia quieres conseguir primero? | ¿Qué material necesitas tener listo para aplicar? | ¿Qué paso te acercaría más esta misma semana?,Si
PRA005,practicas,ocupacional,multietapa,Conseguir una carta de recomendación de un profesor en 4 semanas.,Identificar al profesor adecuado esta semana; Preparar un resumen de mis logros en su clase; Solicitar formalmente la carta en persona o por correo.,4 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que quieren activar su perfil profesional y necesitan pasos visibles para acercarse a prácticas, reclutamiento o experiencia aplicada.",media,quincenal,plan_practicas,¿Qué tipo de experiencia quieres conseguir primero? | ¿Qué material necesitas tener listo para aplicar? | ¿Qué paso te acercaría más esta misma semana?,Si
SER001,servicio social,ocupacional,exploracion,Inscribirme y completar un proyecto de servicio social este periodo.,Investigar 3 opciones de servicio social en el sistema del Tec; Contactar a la organización que más me interese esta semana; Definir mi horario y empezar el próximo periodo.,este periodo,"Quedó inscrito/a o avanzó con horas, proyecto o documentación verificable de servicio social.",Aplica para estudiantes con requisitos de servicio social o con interés en vincularse a proyectos con impacto y estructura real.,media,quincenal,servicio_social,¿Qué requisito o espacio de servicio necesitas destrabar primero? | ¿Qué opción sí encaja con tu horario real? | ¿Cómo sabrás que ya iniciaste de verdad?,Si
SER002,servicio social,ocupacional,exploracion,Proponer una mejora concreta en el proyecto de servicio social asignado.,Observar y tomar notas durante la primera semana; Hablar con mi supervisor sobre un área de oportunidad; Presentar una propuesta simple en 1 página.,4 a 6 semanas,"Quedó inscrito/a o avanzó con horas, proyecto o documentación verificable de servicio social.",Aplica para estudiantes con requisitos de servicio social o con interés en vincularse a proyectos con impacto y estructura real.,alta,quincenal,servicio_social,¿Qué requisito o espacio de servicio necesitas destrabar primero? | ¿Qué opción sí encaja con tu horario real? | ¿Cómo sabrás que ya iniciaste de verdad?,Si
SER004,servicio social,ocupacional,exploracion,Conectar con 3 compañeros de mi equipo de servicio social a nivel personal.,Invitar a tomar un café a un compañero esta semana; Organizar una actividad breve de integración; Crear un grupo de WhatsApp para comunicación informal.,4 a 6 semanas,"Quedó inscrito/a o avanzó con horas, proyecto o documentación verificable de servicio social.",Aplica para estudiantes con requisitos de servicio social o con interés en vincularse a proyectos con impacto y estructura real.,media,quincenal,servicio_social,¿Qué requisito o espacio de servicio necesitas destrabar primero? | ¿Qué opción sí encaja con tu horario real? | ¿Cómo sabrás que ya iniciaste de verdad?,Si
FIS001,bienestar cotidiano,fisica,multietapa,"Completar el reto de 10,000 pasos diarios por 30 días seguidos.",Activar el contador de pasos de mi celular/reloj; Estacionarme más lejos o bajarme antes del transporte; Dar una caminata de 15 min después de comer.,30 dias,Puede mostrar registro sostenido de pasos durante el periodo definido.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",media,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
FIS002,bienestar cotidiano,fisica,multietapa,Asistir a 3 clases deportivas diferentes en LiFE para encontrar una que me guste.,Revisar el horario de clases deportivas esta semana; Invitar a un amigo a ir conmigo a la primera clase; Evaluar cada clase del 1 al 10 después de asistir.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",media,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
FIS003,bienestar cotidiano,fisica,multietapa,"Incorporar 15 minutos de estiramientos en mi rutina matutina, 5 días/semana.",Buscar una rutina de estiramientos para principiantes en YouTube; Poner mi alarma 15 minutos antes; Dejar listo mi tapete de yoga la noche anterior.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",baja,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
FIS004,bienestar cotidiano,fisica,multietapa,Beber 2 litros de agua al día durante las 5 semanas del periodo.,Comprar una botella de agua reutilizable de 1 litro; Poner recordatorios en mi celular cada 2 horas; Llenar la botella 2 veces al día como meta.,4 semanas,Mantuvo el consumo acordado y cuenta con registro o rutina visible de hidratación.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",baja,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
FIS005,bienestar cotidiano,fisica,multietapa,"Dormir 7-8 horas cada noche, mejorando mi higiene del sueño.",Establecer una hora fija para dormir y despertar; Dejar el celular fuera de la habitación 30 min antes de dormir; Evitar cafeína después de las 4 p.m.,4 a 6 semanas,Sostuvo una rutina de sueño más estable y puede nombrar cambios concretos en horario e higiene del sueño.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",media,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
EMO001,bienestar cotidiano,emocional,multietapa,Practicar 5 minutos de journaling de gratitud cada noche por 30 días.,Comprar una libreta y pluma que me gusten hoy; Poner una alarma recordatoria a las 10 p.m.; Escribir 3 cosas específicas por las que estoy agradecido.,30 dias,Completó entradas de journaling con la frecuencia acordada durante el periodo.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",baja,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
EMO002,bienestar cotidiano,emocional,multietapa,Identificar 3 detonantes de estrés y crear un plan de acción para uno de ellos.,"Anotar situaciones estresantes durante esta semana; Analizar y elegir un detonante recurrente; Definir 3 acciones simples para manejarlo (ej. respirar, caminar).",4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",baja,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
